userName,content
V. Smith,"Just received a free trial for 7 days. Glad I am not paying to use the app because it SUCKS. It keeps saying SORRY THIS VIDEO IS NOT AVAILABLE, which means I have been unable to watch anything. If I could rate this app a 0 I would. FIX THE PROBLEM. This is an app problem because other customers are saying the say thing. If not fixed by the time the trial is over I will not purchase a subscription. 🤔😡"
Kimberly reed,I was not able to cast this bet app from my phone to my TV I would like for my money to be refund is one day after the trial I have been trying to get this corrected and why should I have to pay for the whole month when I cannot watch it now it's telling me I won't be charged after the initial period why not a full refund when I cannot watch it this is one day after the trial period
Christy Scott,Love it ! very good app to have
Reginald Metellus,The Statue of Liberty
MikeBurger,"3/12/24 Update I can't wait to cancel this stupid app. I forgot it was due today. They can keep that! I'm cancelling this stupid non-streaming service BS in two weeks. Please don't download BET -, It doesn't work."
Marina Crawford,I love it
Latisha Rainey,I have canceled bet plus several times and changed my card number because it kept charging me for several different things and for some reason it's still charging my new card after it wouldn't let me watch it after it took my money and wants me to keep paying for it. Disappointed.
Jacqueline Jones,"5 STAR, Nothing Else To Say"
Antonia Gkilas,Terrible
donnie gidney,they have really good movies but is always lagging and freezing
Roy Hi,This is a grate show
Brittany Hyder,"2nd time around having a subscription, I can't get through a full episode of any show because it stops. Says ""something went wrong , connect to the internet."" I know it's not my internet... Canceling"
Latesha Pleas,Good
Nyidah Parker,"Honestly we should all just delete the app. They are aware of these on-going issues and refuse to do anything . I've updated,deleted and re-downloaded the app, I have the premium and i still can not play it on my smart tv. I tried once again but that's it after march 12th"
Bridgette Thomas,"The app will not play when I try to cast to my TV. It happens from time to time, but today, it will not cast at all. It'll play on my phone, not not my TV. I fo not have this issue with any other app. Please resolve. Thank you."
kwanafaye Carrethers,"Why am I paying to watch old episodes of the oval and sisters as well as all the queens men This where they all air at ,not right"
Sonnette Spann,I pay for this app and for a month I'm not able to watch any of my shows it keep coming up shows not available so yes I'm deleting this app 🤬
Randy Greer,Unable to sign up (tried) 😕
Jacqueline Woodum,5 I got you five star
Jesse Edwards,Don't no can't never get my phone to download it
Winston Christian,AWESOME
Nikki Hill,Too many ads for a paid subscription and it crashes and/or gives error mesages too often. Nobody has ever opened a app to see ads. If anything we use apps to avoid ads/commercials. 5-7 ads before your show starts is waaay too many. Very disappointed.
Cedric Bennett,The app doesn't work it just went black
Erika Lindsey,Free Trial
Aaliyah Simpson,"This is the worst subscription ever! Not because of the movies and show selections but because it NEVER allows me to watch it on my Firestick through my Samsung TV. I always receive an error message saying 'Sorry this video is not available.' Reaching out to tech support is worst than ever, they're only email-based and that can take days for a response just for them to ask for information you already provided during the initial complaint. It's a waste of money."
Kim Burgin,Paid 10 dollars for no commercials after paying 30 mins into watching a show the screen went black go out go back n screen still black can't watch anything for my money I just rather pay another app instead of waste n my money had the app a yr a go but it would open after I paid So dissatisfied
Diane Reaves,"I canceled BET plus 2/4/24 because it stopped letting me play it on my Roku device for the essential price. I would have to pay the higher price, but it still came on my IPad. They turned it off. I even got a confirmation email stating so. This month they took out another payment from my account, and it's back on. I emailed BET support and they are telling me they can't cancel it until I give them this GPA number from the Google Play account that supposedly are emailed monthly. I can't find IT."
Joseph crawford,Clear Precise Accurate
Cathy Royale,App has some serious issues plz delete this request for free trail
Karen Stewart,"I canceled my subscription because I had 5 random names on my account, and I didn't have a way to log them out. That's a security issue on the BET+ part. Besides that, it takes too long to add new episodes. The main reason for canceling the subscription was the 5 different profiles on my screen."
Steven Johnson,This app needs more new movies and up to date shows
Clarise Carrington,Downloaded the App and it takes payment for a restricted app. This is not right I Love the shows I am very disappointed in Bet.
Nunyaki Moore,That means stay out of NUNYEA BUSINESS
Elijha Watkins,Phnonomal
Donnie (Birdie15),I look at it every now and then
Fred Hampton,Great
Vernon Wilson,Awesome 💯 😎 cool 😎
Keshia Brown,I have reinstalled this app 3x and nothing just send me my money back. This is very disappointing BET+ ok apparently you didn't read my post I have reinstalled this app 3xs and still the samething and why am I clearing a cache for the TV? Maybe I didn't make myself clear im speaking of the TV app it's freezing up I literally have to turn my TV off to get my TV to work or move off of your app no other app is doing this but BET+ 👎🏾 TO YOUR RESPONSE
Irene Mccoy,I STILL LIKE BET & I ALSO LOVE MRS.JOHNSON THE BACKBONE IF BET BUT I DO AGREE THAT SOME PROGRAMS DON'T REALLY EXEMPLIFY THE EXTRAORDINARY FEARFULLY & WONDERFULLY MADE PEOPLE WE ARE KINGS & QUEENS..WE KNOW OUR HISTORY..THE GOOD BAD & THE UGLY..SEE WE'RE GRIOTS.....TREATIES WERE ALWAYS MEANT TO BE BROKEN JUST LIKE PROMISES.. YET WE SURVIVE ANYWAY
Steven Hudson,I need an upgrade on my bet I'm not getting a new
Latrivis Williams,Y'all should be ashamed of yourself 😭
Evelyn Carson,always Exciting program comes on with good church services 😁🧐💯
Elin Hammonds,WAY TO MANY commercials Makes me log out fast!!!! All these commercials is making it a very uninteresting app
Lawrence Pierce,"Have,not,tried,it,yet?"
Nine Hamilton,I always read reviews and I'm so thankful I do. I was going to get this app so glad I didn't. Thanks to everyone that took time out to warn the next innocent buyer not to waist your time and money. People pay attention to the reviews they are there for a reason. Buyer BEWARE!
Rickee Campbell,Duty and the other day that you can be est for the most important de of your life in 2
R Husband,Do any body got an account with bet I can used on my TV cause the apps I got are boring and I'm tired of watching all the movies on the app SUMBODY PLEASE HELP ME
Helen Hines,"I love The movies and series on this app, but it barely works. Why is it that anything connected to black entertainment you think we shouldn't have quality? I want quality app for BET+. It is so frustrating when you're watching a good movie. And I paid by the year."
Netta,Do not download this app you cannot stream it from any of your smart TVs only from your mobile devices.
Karyn Hale,It keep on spinning
Marcus Miranda,Great
Denise Johnson,Would like a way to access easy and not use so many ways to find program Thank you
Yvette Jefferson,"Waste of time, streaming stinks"
Angela Griffin,"I have the $5.99 deal and I can't watch on my fire stick only on my visio smart TV. Tried calling and I only can leave a message. Now I can't even watch on my smart TV, so I just canceled. Can't subscribe to nothing I can't see or call"
